date,product_id,product_slug,chip,name,manufacturer,country,price_type,price_type_description,price
2024-12-31,17062100,n-v100-sxm-16g,GV100,Tesla V100 SXM2 16 GB,NVIDIA,US,0,Rental On-Demand,0.245
2024-12-31,17062101,n-v100-pcie-16g,GV100,Tesla V100 PCIe 16 GB,NVIDIA,FI,0,Rental On-Demand,0.390
2024-12-31,17062101,n-v100-pcie-16g,GV100,Tesla V100 PCIe 16 GB,NVIDIA,IN,0,Rental On-Demand,0.550
2024-12-31,17062101,n-v100-pcie-16g,GV100,Tesla V100 PCIe 16 GB,NVIDIA,EU,0,Rental On-Demand,2.700
2024-12-31,17062101,n-v100-pcie-16g,GV100,Tesla V100 PCIe 16 GB,NVIDIA,US,0,Rental On-Demand,3.584
2024-12-31,18032700,n-v100-fhhl-16g,"
GV100",Tesla V100 FHHL,NVIDIA,US,0,Rental On-Demand,0.190
2024-12-31,18032701,n-v100-pcie-32g,GV100,Tesla V100 PCIe 32 GB,NVIDIA,EU,0,Rental On-Demand,2.340
2024-12-31,18032701,n-v100-pcie-32g,GV100,Tesla V100 PCIe 32 GB,NVIDIA,US,0,Rental On-Demand,4.585
2024-12-31,18032702,n-v100-sxm-32g,GV100,Tesla V100 SXM2 32 GB,NVIDIA,US,0,Rental On-Demand,0.450
2024-12-31,18071300,n-t4,TU104,T4,NVIDIA,EU,0,Rental On-Demand,0.979
2024-12-31,18071300,n-t4,TU104,T4,NVIDIA,DE,0,Rental On-Demand,0.980
2024-12-31,18071300,n-t4,TU104,T4,NVIDIA,US,0,Rental On-Demand,1.271
2024-12-31,18081300,n-q-rtx-5000,TU104,Quadro RTX 5000,NVIDIA,US,0,Rental On-Demand,0.215
2024-12-31,18081301,n-q-rtx-6000,TU102,Quadro RTX 6000,NVIDIA,US,0,Rental On-Demand,0.500
2024-12-31,18081301,n-q-rtx-6000,TU102,Quadro RTX 6000,NVIDIA,IN,0,Rental On-Demand,0.500
2024-12-31,18111300,n-q-rtx-4000,TU104,Quadro RTX 4000,NVIDIA,US,0,Rental On-Demand,0.170
2024-12-31,20051400,n-a100-sxm-40g,GA100,A100 SXM4 40 GB,NVIDIA,CA,0,Rental On-Demand,1.250
2024-12-31,20051400,n-a100-sxm-40g,GA100,A100 SXM4 40 GB,NVIDIA,FI,0,Rental On-Demand,1.290
2024-12-31,20051400,n-a100-sxm-40g,GA100,A100 SXM4 40 GB,NVIDIA,US,0,Rental On-Demand,1.290
2024-12-31,20062200,n-a100-pcie-40g,GA100,A100 PCIe 40 GB,NVIDIA,CA,0,Rental On-Demand,1.250
2024-12-31,20062200,n-a100-pcie-40g,GA100,A100 PCIe 40 GB,NVIDIA,IN,0,Rental On-Demand,1.290
2024-12-31,20062200,n-a100-pcie-40g,GA100,A100 PCIe 40 GB,NVIDIA,US,0,Rental On-Demand,2.767
2024-12-31,20062200,n-a100-pcie-40g,GA100,A100 PCIe 40 GB,NVIDIA,EU,0,Rental On-Demand,3.135
2024-12-31,20090100,n-gf-rtx-3070,GA104,GeForce RTX 3070,NVIDIA,US,0,Rental On-Demand,0.118
2024-12-31,20090101,n-gf-rtx-3080,GA102,GeForce RTX 3080,NVIDIA,US,0,Rental On-Demand,0.142
2024-12-31,20090102,n-gf-rtx-3090,GA102,GeForce RTX 3090,NVIDIA,US,0,Rental On-Demand,0.238
2024-12-31,20100500,n-a40,GA102,A40,NVIDIA,SE,0,Rental On-Demand,0.525
2024-12-31,20100500,n-a40,GA102,A40,NVIDIA,EU,0,Rental On-Demand,0.680
2024-12-31,20100500,n-a40,GA102,A40,NVIDIA,US,0,Rental On-Demand,0.917
2024-12-31,20100500,n-a40,GA102,A40,NVIDIA,JP,0,Rental On-Demand,1.860
2024-12-31,20100501,n-rtx-a6000,GA102,RTX A6000,NVIDIA,CA,0,Rental On-Demand,0.550
2024-12-31,20100501,n-rtx-a6000,GA102,RTX A6000,NVIDIA,SE,0,Rental On-Demand,0.585
2024-12-31,20100501,n-rtx-a6000,GA102,RTX A6000,NVIDIA,NO,0,Rental On-Demand,0.586
2024-12-31,20100501,n-rtx-a6000,GA102,RTX A6000,NVIDIA,EU,0,Rental On-Demand,0.680
2024-12-31,20100501,n-rtx-a6000,GA102,RTX A6000,NVIDIA,US,0,Rental On-Demand,0.721
2024-12-31,20100501,n-rtx-a6000,GA102,RTX A6000,NVIDIA,IN,0,Rental On-Demand,0.800
2024-12-31,20100501,n-rtx-a6000,GA102,RTX A6000,NVIDIA,FI,0,Rental On-Demand,1.010
2024-12-31,20111600,n-a100-sxm-80g,GA100,A100 SXM4 80 GB,NVIDIA,US,0,Rental On-Demand,1.602
2024-12-31,20111600,n-a100-sxm-80g,GA100,A100 SXM4 80 GB,NVIDIA,FI,0,Rental On-Demand,1.650
2024-12-31,20111600,n-a100-sxm-80g,GA100,A100 SXM4 80 GB,NVIDIA,EU,0,Rental On-Demand,3.240
2024-12-31,20120100,n-gf-rtx-3060-ti,GA104,GeForce RTX 3060 Ti,NVIDIA,US,0,Rental On-Demand,0.090
2024-12-31,21011200,n-gf-rtx-3060,GA104,GeForce RTX 3060,NVIDIA,US,0,Rental On-Demand,0.080
2024-12-31,21041200,n-rtx-a4000,GA104,RTX A4000,NVIDIA,NO,0,Rental On-Demand,0.172
2024-12-31,21041200,n-rtx-a4000,GA104,RTX A4000,NVIDIA,US,0,Rental On-Demand,0.217
2024-12-31,21041200,n-rtx-a4000,GA104,RTX A4000,NVIDIA,SE,0,Rental On-Demand,0.466
2024-12-31,21041200,n-rtx-a4000,GA104,RTX A4000,NVIDIA,EU,0,Rental On-Demand,0.800
2024-12-31,21041201,n-rtx-a5000,GA102,RTX A5000,NVIDIA,NO,0,Rental On-Demand,0.373
2024-12-31,21041201,n-rtx-a5000,GA102,RTX A5000,NVIDIA,CA,0,Rental On-Demand,0.505
2024-12-31,21041201,n-rtx-a5000,GA102,RTX A5000,NVIDIA,US,0,Rental On-Demand,0.647
2024-12-31,21041202,n-a10,GA102,A10,NVIDIA,IN,0,Rental On-Demand,0.750
2024-12-31,21041202,n-a10,GA102,A10,NVIDIA,US,0,Rental On-Demand,1.459
2024-12-31,21041203,n-a16,GA107,A16 PCIe,NVIDIA,US,0,Rental On-Demand,0.510
2024-12-31,21041203,n-a16,GA107,A16 PCIe,NVIDIA,IN,0,Rental On-Demand,0.511
2024-12-31,21041203,n-a16,GA107,A16 PCIe,NVIDIA,SG,0,Rental On-Demand,0.513
2024-12-31,21041203,n-a16,GA107,A16 PCIe,NVIDIA,GB,0,Rental On-Demand,0.574
2024-12-31,21041204,n-a30,GA100,A30 PCIe,NVIDIA,US,0,Rental On-Demand,0.308
