openrouter_author,openrouter_revenue,market_share,na_revenue,total_market_estimate
anthropic,74115513.30793431,0.636091164265745,34994169.00486481,11664723001.621603
google,18649144.89789807,0.1600549704267465,8805326.971720416,2935108990.573472
openai,11815158.354011964,0.10140276303777622,5578611.410834991,1859537136.944997
x-ai,7943897.535846156,0.06817794017549116,3750767.9636750184,1250255987.8916728
z-ai,864790.2149548153,0.007422001010648656,408316.87706388,136105625.68796
deepseek,815638.0694518625,0.007000156189454041,385109.3404779072,128369780.1593024
qwen,571188.8829263891,0.004902188291494996,269690.91099428694,89896970.33142897
perplexity,450638.5918060571,0.0038675739225340305,212772.22996831418,70924076.65610473
minimax,297802.26064391754,0.0025558668926290943,140609.46452203026,46869821.50734342
moonshotai,251798.84100266726,0.0021610457890063,118888.62134255936,39629540.44751979
mistralai,203576.14888403457,0.0017471779359115567,96119.93281094609,32039977.603648696
meta-llama,153120.71190929456,0.0013141477076049077,72297.03784734421,24099012.615781404
microsoft,75072.17472071285,0.0006443016433503885,35445.863524204,11815287.841401335
aion-labs,69599.22741494284,0.0005973304592039834,32861.77236130394,10953924.120434647
nousresearch,59413.55104557634,0.0005099126103427677,28052.532508676337,9350844.169558778
thedrummer,51554.18876919844,0.0004424601880678712,24341.678471582534,8113892.823860845
sao10k,26127.86478113714,0.00022424055621608012,12336.45798401948,4112152.6613398264
morph,25397.10947322857,0.00021796890033926419,11991.426645709678,3997142.2152365595
amazon,8775.147773479286,7.531208669695403e-05,4143.248700875198,1381082.9002917325
cohere,8272.096666723213,7.099468606245844e-05,3905.7295275981273,1301909.842532709
deepcogito,4872.686964055714,4.1819492110795494e-05,2300.6739549857916,766891.3183285972
nvidia,4524.289666328571,3.882939688177718e-05,2136.1756823117944,712058.5607705981
gryphe,4320.860730455428,3.708348239114602e-05,2040.1252571754621,680041.7523918207
undi95,4273.866595414285,3.668015854249662e-05,2017.9366406433933,672645.5468811311
anthracite-org,4228.210085535714,3.628831476743823e-05,1996.3795933862982,665459.8644620994
neversleep,3962.3635214514284,3.40067053861224e-05,1870.8582392498736,623619.4130832911
alpindale,3945.4826478214286,3.3861826479104426e-05,1862.8878141878004,620962.6047292667
baidu,2874.29477284,2.4668432112214942e-05,1357.1188076733547,452372.93589111825
ai21,2668.9965115999994,2.290647426849985e-05,1260.185767212737,420061.92240424565
switchpoint,2426.495702342857,2.082522818099218e-05,1145.6872779733394,381895.75932444644
inception,2420.369997785714,2.077265475378657e-05,1142.7949828116518,380931.6609372173
sourceful,1751.0523525714284,1.5028283282741463e-05,826.771875783404,275590.62526113464
bytedance-seed,1746.5357699249998,1.4989520030814263e-05,824.6393390255881,274879.77967519604
inflection,1672.377155,1.4353058949960784e-05,789.624819284357,263208.2730947857
bytedance,1497.0788187815947,1.2848573346309485e-05,706.856457707864,235618.81923595467
black-forest-labs,1247.1492790628572,1.0703570703697088e-05,588.8504403186641,196283.48010622137
arcee-ai,1234.6547672565714,1.0596337437582184e-05,582.9510673228134,194317.02244093778
liquid,1224.8918102914286,1.0512547548185719e-05,578.3414174563143,192780.47248543808
meituan,1196.1205047742856,1.0265619848342266e-05,564.7568400470701,188252.28001569005
prime-intellect,1183.7032500428572,1.0159049635621997e-05,558.8939445309496,186297.98151031655
relace,1097.008860692857,9.415001155139492e-06,517.9605693537088,172653.52311790295
raifle,995.0332802142857,8.539802929853159e-06,469.8120706337479,156604.02354458263
alibaba,862.438519582857,7.401817751026176e-06,407.2065072961858,135735.50243206194
inclusionai,805.7371878042857,6.915182571200894e-06,380.4345684874206,126811.5228291402
cognitivecomputations,656.2233381857142,5.631990504749276e-06,309.8405364339434,103280.17881131446
01-ai,546.6740738571428,4.691791672128401e-06,258.11606878646325,86038.68959548774
opengvlab,475.5216210585714,4.081130765646335e-06,224.52092996581203,74840.30998860401
thudm,318.03043999491587,2.729473814851886e-06,150.1603438895995,50053.447963199826
infermatic,231.98487865714281,1.9909938550108157e-06,109.53331749281753,36511.105830939174
nothingiisreal,146.1630592,1.2544341440757171e-06,69.01193242313143,23003.97747437714
mancer,141.49801235714284,1.2143967086565175e-06,66.80929723451325,22269.76574483775
allenai,125.0454438742857,1.0731937003478353e-06,59.041099506985944,19680.36650232865
eva-unit-01,124.05398734285713,1.0646845946121032e-06,58.57297622383958,19524.325407946526
stepfun-ai,122.2206784242857,1.0489503501547012e-06,57.707366322872375,19235.78877429079
sophosympatheia,103.46689485714285,8.879973257312078e-07,48.85263345604897,16284.211152016323
pygmalionai,93.24008107499999,8.002264179270004e-07,44.023970280140354,14674.656760046784
ibm-granite,85.79530275857142,7.363321332403089e-07,40.50886502105063,13502.955007016877
intfloat,75.64584131214285,6.492250964003184e-07,35.716724302966185,11905.574767655395
baai,68.48988874571428,5.878096383369293e-07,32.33799018478004,10779.330061593346
all-hands,64.13163639999999,5.50405245045727e-07,30.280210209377138,10093.403403125712
tencent,63.27066238428572,5.430159962958352e-07,29.873695178043246,9957.898392681082
eleutherai,52.518651428571424,4.507376208010494e-07,24.797056405224485,8265.68546840816
alfredpros,50.430580657142855,4.3281690071443456e-07,23.811158875703264,7937.052958567754
aetherwiing,24.29888714285714,2.0854348466621616e-07,11.47289312797959,3824.29770932653
essentialai,17.03045685,1.4616269445083007e-07,8.041051847847857,2680.350615949286
scb10x,11.679278034285714,1.0023657977980748e-07,5.51445454730253,1838.15151576751
sentence-transformers,8.064236656428571,6.92107421882081e-08,3.8075869390231527,1269.1956463410509
thenlper,5.66510513,4.8620365116513e-08,2.6748198521661424,891.6066173887141
arliai,1.5496807185714285,1.3300025440298067e-08,0.7316928204214898,243.89760680716324
sentientagi,0.8171621714285714,7.013236687146833e-09,0.385828956112653,128.609652037551
