Date,overall_ai_user_share,overall_google_user_share,overall_openai_user_share,overall_anthropic_user_share,overall_deepseek_user_share,overall_x_user_share
2023-01-01 0:00:00,6.56%,1.71%,0.44%,0.00%,0.00%,0.00%
2023-02-01 0:00:00,7.44%,1.63%,1.46%,0.00%,0.00%,0.00%
2023-03-01 0:00:00,11.00%,1.73%,3.55%,0.00%,0.00%,0.00%
2023-04-01 0:00:00,12.65%,1.76%,5.65%,0.00%,0.00%,0.00%
2023-05-01 0:00:00,13.53%,1.82%,6.07%,0.00%,0.00%,0.01%
2023-06-01 0:00:00,13.34%,1.86%,5.93%,0.03%,0.00%,0.00%
2023-07-01 0:00:00,13.38%,1.73%,6.75%,0.07%,0.00%,0.01%
2023-08-01 0:00:00,14.20%,1.73%,7.21%,0.09%,0.00%,0.01%
2023-09-01 0:00:00,14.40%,1.77%,7.77%,0.21%,0.00%,0.00%
2023-10-01 0:00:00,14.67%,1.81%,8.05%,0.25%,0.00%,0.01%
2023-11-01 0:00:00,14.59%,2.39%,8.19%,0.22%,0.00%,0.00%
2023-12-01 0:00:00,15.22%,2.42%,9.25%,0.34%,0.00%,0.00%
2024-01-01 0:00:00,16.09%,2.50%,10.17%,0.37%,0.00%,0.00%
2024-02-01 0:00:00,16.45%,2.59%,10.15%,0.35%,0.00%,0.00%
2024-03-01 0:00:00,17.68%,2.99%,10.96%,1.20%,0.01%,0.01%
2024-04-01 0:00:00,17.57%,3.33%,10.60%,1.37%,0.00%,0.00%
2024-05-01 0:00:00,18.86%,3.36%,11.33%,1.40%,0.00%,0.00%
2024-06-01 0:00:00,18.29%,3.20%,11.03%,1.48%,0.01%,0.01%
2024-07-01 0:00:00,19.51%,3.35%,11.83%,2.25%,0.01%,0.00%
2024-08-01 0:00:00,20.58%,3.45%,12.54%,2.54%,0.01%,0.00%
2024-09-01 0:00:00,20.90%,3.55%,12.72%,2.69%,0.01%,0.00%
2024-10-01 0:00:00,22.20%,3.74%,13.73%,2.96%,0.01%,0.02%
2024-11-01 0:00:00,22.18%,3.89%,13.39%,3.22%,0.01%,0.00%
2024-12-01 0:00:00,23.45%,3.98%,14.77%,3.63%,0.02%,0.01%
2025-01-01 0:00:00,25.88%,4.20%,16.78%,4.13%,0.22%,0.04%
2025-02-01 0:00:00,26.95%,4.16%,18.22%,4.42%,0.08%,0.20%
2025-03-01 0:00:00,35.37%,2.47%,26.37%,6.95%,0.09%,0.41%
2025-04-01 0:00:00,40.15%,3.21%,32.01%,7.94%,0.09%,0.47%
2025-05-01 0:00:00,41.73%,4.29%,33.55%,8.93%,0.04%,0.51%
2025-06-01 0:00:00,41.69%,4.03%,33.39%,9.64%,0.04%,0.56%
2025-07-01 0:00:00,43.60%,3.35%,35.04%,11.08%,0.06%,1.47%
2025-08-01 0:00:00,44.79%,3.02%,36.48%,12.05%,0.03%,1.47%
2025-09-01 0:00:00,44.14%,3.26%,35.54%,12.16%,0.03%,1.29%
2025-10-01 0:00:00,45.00%,3.28%,35.80%,14.26%,0.05%,1.63%
2025-11-01 0:00:00,44.97%,3.96%,34.76%,15.13%,0.04%,1.77%
2025-12-01 0:00:00,46.57%,4.27%,36.76%,16.69%,0.08%,1.94%
2026-01-01 0:00:00,46.80%,4.53%,35.85%,19.52%,0.06%,1.99%
2026-02-01 0:00:00,47.56%,4.67%,34.38%,24.39%,0.09%,1.91%
