Week,North America,Asia,Europe,Other
2024-10-28,57.04,13.15,18.78,11.03
2024-11-04,48.12,22.3,19.95,9.62
2024-11-11,58.69,16.9,14.79,9.62
2024-11-18,54.93,20.66,15.02,9.39
2024-11-25,57.75,17.14,15.02,10.09
2024-12-02,59.63,16.43,14.08,9.86
2024-12-09,55.4,17.14,14.08,13.38
2024-12-16,57.98,16.9,16.67,8.45
2024-12-23,56.57,17.14,17.84,8.45
2024-12-30,55.87,17.14,16.9,10.09
2025-01-06,49.53,17.84,22.54,10.09
2025-01-13,48.12,18.54,23.0,10.33
2025-01-20,48.83,15.96,25.35,9.86
2025-01-27,49.3,14.08,26.76,9.86
2025-02-03,46.71,15.96,27.0,10.33
2025-02-10,45.07,15.49,29.58,9.86
2025-02-17,53.99,16.2,19.95,9.86
2025-02-24,52.81,18.31,18.08,10.8
2025-03-03,53.53,19.95,16.9,9.62
2025-03-10,61.5,16.43,13.15,8.92
2025-03-17,58.21,21.13,13.15,7.51
2025-03-24,52.82,24.41,15.49,7.28
2025-03-31,56.57,20.19,16.2,7.04
2025-04-07,58.21,18.78,16.2,6.81
2025-04-14,61.03,18.08,14.55,6.34
2025-04-21,50.24,29.34,14.55,5.87
2025-04-28,52.35,24.65,15.96,7.04
2025-05-05,53.05,24.41,15.73,6.81
2025-05-12,52.12,26.29,15.96,5.63
2025-05-19,47.89,34.98,11.97,5.16
2025-05-26,49.06,33.8,12.68,4.46
2025-06-02,52.11,28.17,13.62,6.1
2025-06-09,47.89,32.86,13.15,6.1
2025-06-16,51.17,29.58,13.15,6.1
2025-06-23,49.06,31.46,13.15,6.34
2025-06-30,41.31,36.62,14.79,7.28
2025-07-07,46.95,30.75,16.67,5.63
2025-07-14,54.46,26.29,12.68,6.57
2025-07-21,53.75,26.53,13.62,6.1
2025-07-28,49.06,31.92,13.15,5.87
2025-08-04,45.77,35.45,13.15,5.63
2025-08-11,46.95,33.1,13.85,6.1
2025-08-18,47.18,33.1,14.08,5.63
2025-08-25,47.89,27.93,13.38,10.8
2025-09-01,48.12,32.16,13.62,6.1
2025-09-08,49.06,31.69,13.62,5.63
2025-09-15,51.17,28.4,13.62,6.81
2025-09-22,46.71,31.22,15.73,6.34
2025-09-29,53.05,24.18,14.32,8.45
2025-10-06,46.48,29.81,16.2,7.51
2025-10-13,41.55,37.09,13.62,7.75
2025-10-20,43.66,34.51,14.79,7.04
2025-10-27,41.78,35.45,14.79,7.98
2025-11-03,42.96,34.27,15.02,7.75
2025-11-10,43.43,33.33,15.26,7.98
2025-11-17,45.07,31.22,15.26,8.45
2025-11-24,46.48,30.99,15.26,7.28
