week,openrouter_author,revenue,market_share
2023-11-20,alpindale,0.0,
2023-11-20,anthropic,0.0,
2023-11-20,google,0.0,
2023-11-20,gryphe,0.0,
2023-11-20,haotian-liu,0.0,
2023-11-20,huggingfaceh4,0.0,
2023-11-20,jondurbin,0.0,
2023-11-20,lizpreciatior,0.0,
2023-11-20,mancer,0.0,
2023-11-20,meta-llama,0.0,
2023-11-20,migtissera,0.0,
2023-11-20,mistralai,0.0,
2023-11-20,nousresearch,0.0,
2023-11-20,open-orca,0.0,
2023-11-20,openai,0.0,
2023-11-20,openrouter,0.0,
2023-11-20,phind,0.0,
2023-11-20,pygmalionai,0.0,
2023-11-20,teknium,0.0,
2023-11-20,undi95,0.0,
2023-11-20,xwin-lm,0.0,
2023-11-27,alpindale,0.0,
2023-11-27,anthropic,0.0,
2023-11-27,google,0.0,
2023-11-27,gryphe,0.0,
2023-11-27,haotian-liu,0.0,
2023-11-27,huggingfaceh4,0.0,
2023-11-27,intel,0.0,
2023-11-27,jebcarter,0.0,
2023-11-27,jondurbin,0.0,
2023-11-27,lizpreciatior,0.0,
2023-11-27,mancer,0.0,
2023-11-27,meta-llama,0.0,
2023-11-27,migtissera,0.0,
2023-11-27,mistralai,0.0,
2023-11-27,neversleep,0.0,
2023-11-27,nousresearch,0.0,
2023-11-27,open-orca,0.0,
2023-11-27,openai,0.0,
2023-11-27,openchat,0.0,
2023-11-27,openrouter,0.0,
2023-11-27,perplexity,0.0,
2023-11-27,phind,0.0,
2023-11-27,pygmalionai,0.0,
2023-11-27,teknium,0.0,
2023-11-27,undi95,0.0,
2023-11-27,xwin-lm,0.0,
2023-12-11,01-ai,0.0,
2023-12-11,alpindale,0.0,
2023-12-11,anthropic,0.0,
2023-12-11,google,0.0,
2023-12-11,gryphe,0.0,
2023-12-11,haotian-liu,0.0,
2023-12-11,huggingfaceh4,0.0,
2023-12-11,intel,0.0,
2023-12-11,jebcarter,0.0,
2023-12-11,jondurbin,0.0,
2023-12-11,koboldai,0.0,
2023-12-11,lizpreciatior,0.0,
2023-12-11,mancer,0.0,
2023-12-11,meta-llama,0.0,
2023-12-11,migtissera,0.0,
2023-12-11,mistralai,0.0,
2023-12-11,neversleep,0.0,
2023-12-11,nousresearch,0.0,
2023-12-11,open-orca,0.0,
2023-12-11,openai,0.0,
2023-12-11,openchat,0.0,
2023-12-11,openrouter,0.0,
2023-12-11,perplexity,0.0,
2023-12-11,phind,0.0,
2023-12-11,pygmalionai,0.0,
2023-12-11,recursal,0.0,
