openrouter_author,market_share,attributed_prompt_tokens,attributed_completion_tokens,prompt_completion_ratio,prompt_price_qwavg,completion_price_qwavg,revenue
anthropic,0.6176071344848753,51468434221917.43,1130512812385.0,45.52662619836782,3.3681333180382447e-06,1.6038957562590355e-05,191484795.15190756
google,0.1470760143969755,63860588503783.0,5957362730642.0,10.719607213996353,4.267706178861385e-07,3.079562723129212e-06,45599895.00777626
openai,0.10941900812439942,31929204525835.14,3500469431199.857,9.121406472300134,7.557545172631847e-07,2.7978994945011983e-06,33924602.205091
x-ai,0.03774026524977747,32511430877257.285,2282656381500.857,14.242805505347622,2.7465187142919546e-07,1.2142788369244037e-06,11701106.669306573
deepseek,0.01991348503494702,21423671997088.0,1528392880917.2856,14.017123649666763,2.349145480709646e-07,7.46735528201309e-07,6174037.490447396
z-ai,0.01706196481344379,8782499552339.0,365564167105.8571,24.02450880749435,5.375407287268001e-07,1.556477156467673e-06,5289943.484730499
minimax,0.014320343103990529,15445508336129.998,211356759258.85715,73.0779010346826,2.725856388086226e-07,1.0867832774892565e-06,4439922.7480747495
moonshotai,0.012781265618235022,8346517198379.856,230784679291.99997,36.165820122831626,4.1261989134310417e-07,2.2479978462399436e-06,3962742.4814824383
qwen,0.00704786546867419,10403369736460.285,1248013657895.0,8.335942215574342,1.4273528650495538e-07,5.610625251363659e-07,2185141.6542538824
xiaomi,0.005550458180171834,4355693585840.714,299055183950.4285,14.564848963001808,3.86806434681248e-07,1.20615317304287e-07,1720880.9424066998
perplexity,0.0029891867401014385,64245079574.28571,109919245029.71428,0.5844752623338929,1.8509983930323627e-06,7.349568428591228e-06,926776.5520172105
meta-llama,0.0024041139164416533,5587312144138.856,624542216639.4285,8.946252143215196,1.0813602313141573e-07,2.2606810966830056e-07,745378.7935847653
mistralai,0.002184896491708493,6147848048903.0,463846724892.99994,13.254050786542008,8.728716335892033e-08,3.0351349208240377e-07,677411.9562136761
nousresearch,0.0006982322056256911,404845348868.8571,55287185738.28571,7.322589194271586,4.846654448436982e-07,3.665856048018656e-07,216482.03752408936
microsoft,0.0006022198611483394,478794409713.7143,36987947569.28571,12.944606045437856,3.63762849266163e-07,3.392039905577863e-07,186714.07810821524
thedrummer,0.0003539100762911197,265200015188.0,22746885885.142857,11.65873942161092,3.6961810495933247e-07,5.145596586656287e-07,109727.35688573986
aion-labs,0.0003154761053977849,24107747975.714283,3704045500.571429,6.508491316317563,2.9959250483217927e-06,6.90762723756149e-06,97811.1716079857
sao10k,0.00027517413233467256,248972975229.7143,18077027994.571426,13.772893160561651,3.222682244975427e-07,2.8100562659800856e-07,85315.825253795
cohere,0.00027050405378174763,144847796857.71426,10655820746.285713,13.593302694042004,4.3575453021903403e-07,1.947275269618642e-06,83867.89988972677
tngtech,0.00016085717006430192,894522819832.4285,73934058322.42857,12.098927613730988,4.5322419947635836e-08,1.2620310261526169e-07,49872.64644241691
morph,0.00013689411580036263,16655256362.571428,14388852745.142857,1.1575110717700288,9.080231434829877e-07,1.8986718700047145e-06,42443.068186699995
nvidia,0.00012415680957433915,1269818524966.2856,113438128869.85713,11.193930450167208,2.1215511646279967e-08,1.0185380717187354e-07,38493.955008932855
bytedance-seed,0.00011693183145003657,71928547240.42856,16792304535.999998,4.283423224383844,1.843250381264399e-07,1.3694170771058672e-06,36253.900808032144
amazon,0.00010176024571914107,149104283085.5714,17220870941.285713,8.658347396826798,1.60485820027569e-07,4.4254051326625824e-07,31550.056205859284
alpindale,7.057680113752738e-05,2429083937.5714283,290322750.71428573,8.366839772615526,7.939902462181063e-06,8.93886760033478e-06,21881.846166767857
neversleep,6.656838899725641e-05,58759562217.0,1656856930.142857,35.464475627315416,3.114019529998531e-07,1.4130510583801539e-06,20639.065870513034
gryphe,6.59416712472576e-05,233690783488.14285,23953977371.714283,9.75582383926326,7.917826735139073e-08,8.105230416219108e-08,20444.75639240657
anthracite-org,6.495527085235797e-05,8678620003.571428,650163021.7142856,13.348375274694185,2.1088846755183247e-06,2.825016220788927e-06,20138.929812678572
stepfun,4.79229696653433e-05,4767362893460.0,165224056042.7143,28.853927252745358,2.566437730022654e-09,1.587567445856083e-08,14858.183328942856
undi95,4.2386746400785624e-05,20350343849.142857,1522574507.857143,13.365745810222279,5.902537320155053e-07,7.42065109128971e-07,13141.715823085357
eva-unit-01,4.223266276901215e-05,4782338009.0,333113729.71428573,14.356472226773267,2.481576075112535e-06,3.6810481509732412e-06,13093.943265064287
inception,3.0179939912959008e-05,24673467776.142857,3658354812.7142854,6.744416285263645,2.5276266805141864e-07,8.529924003713238e-07,9357.080398285714
alibaba,2.7511988211575817e-05,78759794453.42856,3984414008.285714,19.766970573249942,8.884924038434512e-08,3.8453650195116997e-07,8529.900535085713
nex-agi,2.6378163358510113e-05,190730064742.42856,8000581068.142857,23.839526544126624,3.610847691630771e-08,1.614125120146405e-07,8178.366027783572
ai21,2.366081500342319e-05,3880867760.428571,393884994.57142854,9.852794124973451,1.3685969097611675e-06,5.139894841284713e-06,7335.871075771428
deepcogito,2.1864415318668636e-05,4672005215.142857,542858313.4285713,8.606306838400466,1.2931904391441363e-06,1.357844869583984e-06,6778.909851654285
