openrouter_id,openrouter_author,market_share,attributed_prompt_tokens,attributed_completion_tokens,prompt_completion_ratio,prompt_price_qwavg,completion_price_qwavg,revenue
anthropic/claude-4.5-sonnet,anthropic,0.14594049883836951,13425146116704.857,258213641186.5714,51.99239689666342,2.9999999999999997e-06,1.5e-05,44148642.96791314
anthropic/claude-4-sonnet,anthropic,0.11964748184706311,10844830287896.713,244014574993.85712,44.443371008349494,3e-06,1.5000000000000002e-05,36194709.488598
anthropic/claude-4.6-opus,anthropic,0.08469371762963643,4804959837347.714,63840133562.85714,75.26550414586366,5e-06,2.5e-05,25620802.525810003
anthropic/claude-4.5-opus,anthropic,0.07544591837981741,4195594905573.857,73810586880.14285,56.842725182321935,5e-06,2.5e-05,22823239.19987286
anthropic/claude-3-7-sonnet,anthropic,0.07045242825891308,6175608550604.429,185721773437.0,33.25193614252935,3e-06,1.5e-05,21312652.25336829
google/gemini-2.5-pro,google,0.04466534195404308,5232321960504.571,697136604861.7142,7.505447173502628,1.25e-06,1e-05,13511768.499247856
anthropic/claude-4.6-sonnet,anthropic,0.04004936113667749,3771880210543.857,53316115535.28571,70.74559301019498,3e-06,1.5e-05,12115382.364660857
google/gemini-3-pro-preview,google,0.026216237931641694,2344724940567.7144,270104755728.42856,8.680798434090406,2e-06,1.2e-05,7930706.949876571
anthropic/claude-3.5-sonnet,anthropic,0.02385850006486746,1967273013679.0,55418899366.85714,35.49823320481736,3.2014287479800423e-06,1.6589653460398487e-05,7217464.716770142
google/gemini-2.5-flash,google,0.022237781815638794,13757917839502.0,1039921543518.7142,13.229765192622356,3e-07,2.5e-06,6727179.210647386
google/gemini-3-flash-preview,google,0.019845479112094746,9348480355717.713,443080182549.4285,21.09884559026701,5e-07,3.0000000000000005e-06,6003480.725507142
anthropic/claude-4-opus,anthropic,0.019577832315353077,349499885192.1428,9066883735.285713,38.54685858957134,1.5000000000000002e-05,7.500000000000001e-05,5922514.558028571
anthropic/claude-4.1-opus,anthropic,0.017404723858501,306662781361.1428,8869107711.857141,34.576508857950195,1.5000000000000002e-05,7.5e-05,5265124.798806429
x-ai/grok-code-fast-1,x-ai,0.017177099274001722,22219618322013.715,501561424295.8571,44.300891666873845,2e-07,1.5e-06,5196265.800846528
openai/gpt-5.2,openai,0.015251445994743488,1805936229291.4285,103810401133.0,17.39648637883304,1.75e-06,1.3999999999999998e-05,4613734.0171219995
openai/gpt-4.1,openai,0.013873560173164151,1810900257356.0,71888442239.14285,25.190422840599194,2e-06,8e-06,4196908.052625143
anthropic/claude-3.5-sonnet:beta,anthropic,0.012508036223258521,1180351071078.1428,16184565344.428572,72.93066239091004,3e-06,1.5e-05,3783821.693400857
openai/gpt-5,openai,0.012183924160172194,1654123448763.857,174125890496.14285,9.49958357169463,1.2041164414714391e-06,9.728690557272146e-06,3685774.1475264286
anthropic/claude-4.5-haiku,anthropic,0.010452139116744677,2729110587548.2856,86555819785.42857,31.530064579293878,1e-06,4.9999999999999996e-06,3161889.6864754283
moonshotai/kimi-k2.5,moonshotai,0.010126545546481973,6767898800430.143,123655836835.71428,54.73173748702041,4.1123570370151766e-07,2.2659047029658277e-06,3063393.968010767
google/gemini-3.1-pro-preview,google,0.00961635824372675,1007092857529.7142,74572571118.85715,13.504869718445995,2e-06,1.1999999999999999e-05,2909056.568485714
openai/gpt-4o,openai,0.009315552331032314,858347354535.1428,65541758443.71428,13.096190503833848,2.517070918074312e-06,1.0032355665211404e-05,2818059.395337143
x-ai/grok-4,x-ai,0.008817376641453151,587197598489.1428,60384189898.71428,9.724359960348588,3e-06,1.5e-05,2667355.6439481424
