openrouter_id,openrouter_author,market_share,attributed_prompt_tokens,attributed_completion_tokens,prompt_completion_ratio,prompt_price_qwavg,completion_price_qwavg,revenue
anthropic/claude-4-sonnet,anthropic,0.2138336390493726,10102522710239.143,210289473166.2857,48.041029149617046,3e-06,1.5e-05,33461910.228211712
anthropic/claude-4.5-sonnet,anthropic,0.1353865459938742,6414700965907.571,129463850851.57143,49.54820147642557,3e-06,1.4999999999999999e-05,21186060.660496283
anthropic/claude-3-7-sonnet,anthropic,0.12998221868943677,5914954752955.143,173033091396.5714,34.18395120386981,3e-06,1.5e-05,20340360.629814
google/gemini-2.5-pro,google,0.06237164438498024,3839930631342.0,496035817453.8571,7.741236612816176,1.2499999999999999e-06,1e-05,9760271.463716071
anthropic/claude-3.5-sonnet,anthropic,0.03786061095431148,1730301513790.8572,42426245673.14285,40.78375275345639,3.0411265038005403e-06,1.561719709992101e-05,5924644.834042714
anthropic/claude-4-opus,anthropic,0.035285141589649564,326781619301.7143,8265285007.285714,39.536642597764214,1.4999999999999999e-05,7.5e-05,5521620.665072142
anthropic/claude-4.5-opus,anthropic,0.03478044272385554,993083844304.4285,19088931195.857143,52.02406746166892,5e-06,2.5e-05,5442642.501418572
anthropic/claude-4.1-opus,anthropic,0.031521732987646885,291540100557.0,7461326199.714285,39.0734961524888,1.5e-05,7.500000000000001e-05,4932700.973333571
x-ai/grok-code-fast-1,x-ai,0.027684106365936982,19220198582270.426,325418336764.2857,59.063047194517594,2.0000000000000002e-07,1.4999999999999998e-06,4332167.221600514
google/gemini-2.5-flash,google,0.026129343882494393,8422280322008.143,624874001487.2856,13.478365721668629,3e-07,2.5e-06,4088869.100320657
openai/gpt-4.1,openai,0.020092994509183334,1359127904155.5713,53251354375.85714,25.522879560257092,2e-06,8e-06,3144266.643318
anthropic/claude-3.5-sonnet:beta,anthropic,0.019608207170578464,964483464431.8572,11663597064.571428,82.69176816485786,2.9999999999999997e-06,1.5e-05,3068404.3492641426
openai/gpt-5,openai,0.017915399751961592,1301973585346.8572,129917625409.42856,10.021531576210355,1.1917061367995404e-06,9.636369598304162e-06,2803504.167388036
google/gemini-3-pro-preview,google,0.016894193713063468,836063179814.857,80964470751.71428,10.326297103561995,2e-06,1.2e-05,2643700.0086502857
google/gemini-2.5-pro-preview,google,0.01592561698161209,1390216020812.2856,75436155878.42857,18.42904114908414,1.25e-06,9.999999999999999e-06,2492131.5847996427
x-ai/grok-4,x-ai,0.014874168896392231,533079533265.4285,48557091865.14285,10.978407330198959,3e-06,1.5e-05,2327594.9777734284
openai/gpt-4o,openai,0.013367265487244767,631686363032.2856,49862289586.0,12.668619276753915,2.519447820018557e-06,1.0033339662187937e-05,2091786.118027857
anthropic/claude-3-7-sonnet:thinking,anthropic,0.010242621814025988,457521532987.1428,15350627660.857143,29.80474434630355,3e-06,1.5e-05,1602824.0138742856
google/gemini-2.0-flash-001,google,0.008873029994068554,9904652617472.0,995092987014.857,9.953494544449162,1e-07,4e-07,1388502.4565531428
anthropic/claude-4.5-haiku,anthropic,0.00620957633966398,826847600328.857,28972480525.714283,28.53906829258183,1e-06,5e-06,971710.0029574286
openai/gpt-4.1-mini,openai,0.00615450686307934,1939727442940.8572,117000899548.71428,16.578739568863192,3.9999999999999993e-07,1.6e-06,963092.4164542856
openai/gpt-4o-mini,openai,0.005921902345877633,5121002526693.429,264237921507.0,19.380270997771103,1.4999999999999997e-07,6e-07,926693.1319082142
anthropic/claude-3-7-sonnet:beta,anthropic,0.005503033431447206,252662399698.2857,6877262040.0,36.738806552481705,3e-06,1.4999999999999999e-05,861146.129694857
google/gemini-2.5-flash-preview,google,0.005369727471321927,3126296389597.428,225775273132.5714,13.846938799900023,1.890509241560493e-07,1.1040023378440093e-06,840285.6510048427
openai/gpt-5-mini,openai,0.004043057058471346,1152812289975.8572,172238804168.0,6.693104353252567,2.5e-07,1.9999999999999995e-06,632680.6808299642
openai/gpt-5.2,openai,0.0038601152489653183,257037614276.14285,11016933978.571428,23.331138661273258,1.7499999999999998e-06,1.4e-05,604052.9006832499
z-ai/glm-4.6,z-ai,0.0037119197899678734,1169257097060.1428,49598618397.85714,23.574388457374035,4.2398584342131973e-07,1.7160552928524167e-06,580862.4280932186
x-ai/grok-3-beta,x-ai,0.0034552796670488098,140548441521.2857,7937106000.0,17.70776924502277,3e-06,1.5e-05,540701.9145638571
anthropic/claude-3-5-haiku,anthropic,0.0033714286752411626,552598343193.2856,21375439368.285713,25.85202267295446,8.000000000000001e-07,4e-06,527580.4320277714
x-ai/grok-4-fast,x-ai,0.00332578395504506,1877819274486.5713,304268495362.0,6.171586290103604,1.9693443936228958e-07,4.950574953789811e-07,520437.68528135715
openai/gpt-5.1,openai,0.0032911753365716724,209132550743.5714,25360624239.142857,8.246348700706893,1.25e-06,1e-05,515021.9308208929
